,PubChem_pattern,SMARTS,images
305,N#C-C-C,"[#7]#[#6]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/305.png
306,N-C-C-N,"[#7]-,:[#6]-,:[#6]-,:[#7]",../data/pubchemfp_pattern_images/306.png
307,C:C-C-C,"[#6]:[#6]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/307.png
308,[#1]-C-O-[#1],"[#1]-,:[#6]-,:[#8]-,:[#1]",../data/pubchemfp_pattern_images/308.png
309,N:C:N:C,[#7]:[#6]:[#7]:[#6],../data/pubchemfp_pattern_images/309.png
310,O-C-C=C,"[#8]-,:[#6]-,:[#6]=,:[#6]",../data/pubchemfp_pattern_images/310.png
311,O-C-C:C-C,"[#8]-,:[#6]-,:[#6]:[#6]-,:[#6]",../data/pubchemfp_pattern_images/311.png
312,O-C-C:C-O,"[#8]-,:[#6]-,:[#6]:[#6]-,:[#8]",../data/pubchemfp_pattern_images/312.png
313,N=C-C:C-[#1],"[#7]=,:[#6]-,:[#6]:[#6]-,:[#1]",../data/pubchemfp_pattern_images/313.png
314,C:C-N-C:C,"[#6]:[#6]-,:[#7]-,:[#6]:[#6]",../data/pubchemfp_pattern_images/314.png
315,C-C:C-C:C,"[#6]-,:[#6]:[#6]-,:[#6]:[#6]",../data/pubchemfp_pattern_images/315.png
316,O=C-C-C-C,"[#8]=,:[#6]-,:[#6]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/316.png
317,O=C-C-C-N,"[#8]=,:[#6]-,:[#6]-,:[#6]-,:[#7]",../data/pubchemfp_pattern_images/317.png
318,O=C-C-C-O,"[#8]=,:[#6]-,:[#6]-,:[#6]-,:[#8]",../data/pubchemfp_pattern_images/318.png
319,C-C-C-C-C,"[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/319.png
320,Cl-C:C-O-C,"[#17]-,:[#6]:[#6]-,:[#8]-,:[#6]",../data/pubchemfp_pattern_images/320.png
321,C:C-C=C-C,"[#6]:[#6]-,:[#6]=,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/321.png
322,C-C:C-N-C,"[#6]-,:[#6]:[#6]-,:[#7]-,:[#6]",../data/pubchemfp_pattern_images/322.png
323,C-S-C-C-C,"[#6]-,:S-,:[#6]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/323.png
324,N-C:C-O-[#1],"[#7]-,:[#6]:[#6]-,:[#8]-,:[#1]",../data/pubchemfp_pattern_images/324.png
325,O=C-C-C=O,"[#8]=,:[#6]-,:[#6]-,:[#6]=,:[#8]",../data/pubchemfp_pattern_images/325.png
326,C-C:C-O-C,"[#6]-,:[#6]:[#6]-,:[#8]-,:[#6]",../data/pubchemfp_pattern_images/326.png
327,C-C:C-O-[#1],"[#6]-,:[#6]:[#6]-,:[#8]-,:[#1]",../data/pubchemfp_pattern_images/327.png
328,Cl-C-C-C-C,"[#17]-,:[#6]-,:[#6]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/328.png
329,N-C-C-C-C,"[#7]-,:[#6]-,:[#6]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/329.png
330,N-C-C-C-N,"[#7]-,:[#6]-,:[#6]-,:[#6]-,:[#7]",../data/pubchemfp_pattern_images/330.png
331,C-O-C-C=C,"[#6]-,:[#8]-,:[#6]-,:[#6]=,:[#6]",../data/pubchemfp_pattern_images/331.png
332,C:C-C-C-C,"[#6]:[#6]-,:[#6]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/332.png
333,N=C-N-C-C,"[#7]=,:[#6]-,:[#7]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/333.png
334,O=C-C-C:C,"[#8]=,:[#6]-,:[#6]-,:[#6]:[#6]",../data/pubchemfp_pattern_images/334.png
335,Cl-C:C:C-C,"[#17]-,:[#6]:[#6]:[#6]-,:[#6]",../data/pubchemfp_pattern_images/335.png
336,[#1]-C-C=C-[#1],"[#1]-,:[#6]-,:[#6]=,:[#6]-,:[#1]",../data/pubchemfp_pattern_images/336.png
337,N-C:C:C-C,"[#7]-,:[#6]:[#6]:[#6]-,:[#6]",../data/pubchemfp_pattern_images/337.png
338,N-C:C:C-N,"[#7]-,:[#6]:[#6]:[#6]-,:[#7]",../data/pubchemfp_pattern_images/338.png
339,O=C-C-N-C,"[#8]=,:[#6]-,:[#6]-,:[#7]-,:[#6]",../data/pubchemfp_pattern_images/339.png
340,C-C:C:C-C,"[#6]-,:[#6]:[#6]:[#6]-,:[#6]",../data/pubchemfp_pattern_images/340.png
341,C-O-C-C:C,"[#6]-,:[#8]-,:[#6]-,:[#6]:[#6]",../data/pubchemfp_pattern_images/341.png
342,O=C-C-O-C,"[#8]=,:[#6]-,:[#6]-,:[#8]-,:[#6]",../data/pubchemfp_pattern_images/342.png
343,O-C:C-C-C,"[#8]-,:[#6]:[#6]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/343.png
344,N-C-C-C:C,"[#7]-,:[#6]-,:[#6]-,:[#6]:[#6]",../data/pubchemfp_pattern_images/344.png
345,C-C-C-C:C,"[#6]-,:[#6]-,:[#6]-,:[#6]:[#6]",../data/pubchemfp_pattern_images/345.png
346,Cl-C-C-N-C,"[#17]-,:[#6]-,:[#6]-,:[#7]-,:[#6]",../data/pubchemfp_pattern_images/346.png
347,C-O-C-O-C,"[#6]-,:[#8]-,:[#6]-,:[#8]-,:[#6]",../data/pubchemfp_pattern_images/347.png
348,N-C-C-N-C,"[#7]-,:[#6]-,:[#6]-,:[#7]-,:[#6]",../data/pubchemfp_pattern_images/348.png
349,N-C-O-C-C,"[#7]-,:[#6]-,:[#8]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/349.png
350,C-N-C-C-C,"[#6]-,:[#7]-,:[#6]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/350.png
351,C-C-O-C-C,"[#6]-,:[#6]-,:[#8]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/351.png
352,N-C-C-O-C,"[#7]-,:[#6]-,:[#6]-,:[#8]-,:[#6]",../data/pubchemfp_pattern_images/352.png
353,C:C:N:N:C,[#6]:[#6]:[#7]:[#7]:[#6],../data/pubchemfp_pattern_images/353.png
354,C-C-C-O-[#1],"[#6]-,:[#6]-,:[#6]-,:[#8]-,:[#1]",../data/pubchemfp_pattern_images/354.png
355,C:C-C-C:C,"[#6]:[#6]-,:[#6]-,:[#6]:[#6]",../data/pubchemfp_pattern_images/355.png
356,O-C-C=C-C,"[#8]-,:[#6]-,:[#6]=,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/356.png
357,C:C-O-C-C,"[#6]:[#6]-,:[#8]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/357.png
358,N-C:C:C:N,"[#7]-,:[#6]:[#6]:[#6]:[#7]",../data/pubchemfp_pattern_images/358.png
359,O=C-O-C:C,"[#8]=,:[#6]-,:[#8]-,:[#6]:[#6]",../data/pubchemfp_pattern_images/359.png
360,O=C-C:C-C,"[#8]=,:[#6]-,:[#6]:[#6]-,:[#6]",../data/pubchemfp_pattern_images/360.png
361,O=C-C:C-N,"[#8]=,:[#6]-,:[#6]:[#6]-,:[#7]",../data/pubchemfp_pattern_images/361.png
362,O=C-C:C-O,"[#8]=,:[#6]-,:[#6]:[#6]-,:[#8]",../data/pubchemfp_pattern_images/362.png
363,C-O-C:C-C,"[#6]-,:[#8]-,:[#6]:[#6]-,:[#6]",../data/pubchemfp_pattern_images/363.png
364,O=[As]-C:C:C,"[#8]=,:[#33]-,:[#6]:[#6]:[#6]",../data/pubchemfp_pattern_images/364.png
365,C-N-C-C:C,"[#6]-,:[#7]-,:[#6]-,:[#6]:[#6]",../data/pubchemfp_pattern_images/365.png
366,S-C:C:C-N,"S-,:[#6]:[#6]:[#6]-,:[#7]",../data/pubchemfp_pattern_images/366.png
367,O-C:C-O-C,"[#8]-,:[#6]:[#6]-,:[#8]-,:[#6]",../data/pubchemfp_pattern_images/367.png
368,O-C:C-O-[#1],"[#8]-,:[#6]:[#6]-,:[#8]-,:[#1]",../data/pubchemfp_pattern_images/368.png
369,C-C-O-C:C,"[#6]-,:[#6]-,:[#8]-,:[#6]:[#6]",../data/pubchemfp_pattern_images/369.png
370,N-C-C:C-C,"[#7]-,:[#6]-,:[#6]:[#6]-,:[#6]",../data/pubchemfp_pattern_images/370.png
371,C-C-C:C-C,"[#6]-,:[#6]-,:[#6]:[#6]-,:[#6]",../data/pubchemfp_pattern_images/371.png
372,N-N-C-N-[#1],"[#7]-,:[#7]-,:[#6]-,:[#7]-,:[#1]",../data/pubchemfp_pattern_images/372.png
373,C-N-C-N-C,"[#6]-,:[#7]-,:[#6]-,:[#7]-,:[#6]",../data/pubchemfp_pattern_images/373.png
374,O-C-C-C-C,"[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/374.png
375,O-C-C-C-N,"[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#7]",../data/pubchemfp_pattern_images/375.png
376,O-C-C-C-O,"[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#8]",../data/pubchemfp_pattern_images/376.png
377,C=C-C-C-C,"[#6]=,:[#6]-,:[#6]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/377.png
378,O-C-C-C=C,"[#8]-,:[#6]-,:[#6]-,:[#6]=,:[#6]",../data/pubchemfp_pattern_images/378.png
379,O-C-C-C=O,"[#8]-,:[#6]-,:[#6]-,:[#6]=,:[#8]",../data/pubchemfp_pattern_images/379.png
380,[#1]-C-C-N-[#1],"[#1]-,:[#6]-,:[#6]-,:[#7]-,:[#1]",../data/pubchemfp_pattern_images/380.png
381,C-C=N-N-C,"[#6]-,:[#6]=,:[#7]-,:[#7]-,:[#6]",../data/pubchemfp_pattern_images/381.png
382,O=C-N-C-C,"[#8]=,:[#6]-,:[#7]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/382.png
383,O=C-N-C-[#1],"[#8]=,:[#6]-,:[#7]-,:[#6]-,:[#1]",../data/pubchemfp_pattern_images/383.png
384,O=C-N-C-N,"[#8]=,:[#6]-,:[#7]-,:[#6]-,:[#7]",../data/pubchemfp_pattern_images/384.png
385,O=N-C:C-N,"[#8]=,:[#7]-,:[#6]:[#6]-,:[#7]",../data/pubchemfp_pattern_images/385.png
386,O=N-C:C-O,"[#8]=,:[#7]-,:[#6]:[#6]-,:[#8]",../data/pubchemfp_pattern_images/386.png
387,O=C-N-C=O,"[#8]=,:[#6]-,:[#7]-,:[#6]=,:[#8]",../data/pubchemfp_pattern_images/387.png
388,O-C:C:C-C,"[#8]-,:[#6]:[#6]:[#6]-,:[#6]",../data/pubchemfp_pattern_images/388.png
389,O-C:C:C-N,"[#8]-,:[#6]:[#6]:[#6]-,:[#7]",../data/pubchemfp_pattern_images/389.png
390,O-C:C:C-O,"[#8]-,:[#6]:[#6]:[#6]-,:[#8]",../data/pubchemfp_pattern_images/390.png
391,N-C-N-C-C,"[#7]-,:[#6]-,:[#7]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/391.png
392,O-C-C-C:C,"[#8]-,:[#6]-,:[#6]-,:[#6]:[#6]",../data/pubchemfp_pattern_images/392.png
393,C-C-N-C-C,"[#6]-,:[#6]-,:[#7]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/393.png
394,C-N-C:C-C,"[#6]-,:[#7]-,:[#6]:[#6]-,:[#6]",../data/pubchemfp_pattern_images/394.png
395,C-C-S-C-C,"[#6]-,:[#6]-,:S-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/395.png
396,O-C-C-N-C,"[#8]-,:[#6]-,:[#6]-,:[#7]-,:[#6]",../data/pubchemfp_pattern_images/396.png
397,C-C=C-C-C,"[#6]-,:[#6]=,:[#6]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/397.png
398,O-C-O-C-C,"[#8]-,:[#6]-,:[#8]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/398.png
399,O-C-C-O-C,"[#8]-,:[#6]-,:[#6]-,:[#8]-,:[#6]",../data/pubchemfp_pattern_images/399.png
400,O-C-C-O-[#1],"[#8]-,:[#6]-,:[#6]-,:[#8]-,:[#1]",../data/pubchemfp_pattern_images/400.png
401,C-C=C-C=C,"[#6]-,:[#6]=,:[#6]-,:[#6]=,:[#6]",../data/pubchemfp_pattern_images/401.png
402,N-C:C-C-C,"[#7]-,:[#6]:[#6]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/402.png
403,C=C-C-O-C,"[#6]=,:[#6]-,:[#6]-,:[#8]-,:[#6]",../data/pubchemfp_pattern_images/403.png
404,C=C-C-O-[#1],"[#6]=,:[#6]-,:[#6]-,:[#8]-,:[#1]",../data/pubchemfp_pattern_images/404.png
405,C-C:C-C-C,"[#6]-,:[#6]:[#6]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/405.png
406,Cl-C:C-C=O,"[#17]-,:[#6]:[#6]-,:[#6]=,:[#8]",../data/pubchemfp_pattern_images/406.png
407,Br-C:C:C-C,"[#35]-,:[#6]:[#6]:[#6]-,:[#6]",../data/pubchemfp_pattern_images/407.png
408,O=C-C=C-C,"[#8]=,:[#6]-,:[#6]=,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/408.png
409,O=C-C=C-[#1],"[#8]=,:[#6]-,:[#6]=,:[#6]-,:[#1]",../data/pubchemfp_pattern_images/409.png
410,O=C-C=C-N,"[#8]=,:[#6]-,:[#6]=,:[#6]-,:[#7]",../data/pubchemfp_pattern_images/410.png
411,N-C-N-C:C,"[#7]-,:[#6]-,:[#7]-,:[#6]:[#6]",../data/pubchemfp_pattern_images/411.png
412,Br-C-C-C:C,"[#35]-,:[#6]-,:[#6]-,:[#6]:[#6]",../data/pubchemfp_pattern_images/412.png
413,N#C-C-C-C,"[#7]#[#6]-,:[#6]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/413.png
414,C-C=C-C:C,"[#6]-,:[#6]=,:[#6]-,:[#6]:[#6]",../data/pubchemfp_pattern_images/414.png
415,C-C-C=C-C,"[#6]-,:[#6]-,:[#6]=,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/415.png
416,C-C-C-C-C-C,"[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/416.png
417,O-C-C-C-C-C,"[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/417.png
418,O-C-C-C-C-O,"[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]",../data/pubchemfp_pattern_images/418.png
419,O-C-C-C-C-N,"[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#7]",../data/pubchemfp_pattern_images/419.png
420,N-C-C-C-C-C,"[#7]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/420.png
421,O=C-C-C-C-C,"[#8]=,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/421.png
422,O=C-C-C-C-N,"[#8]=,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#7]",../data/pubchemfp_pattern_images/422.png
423,O=C-C-C-C-O,"[#8]=,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#8]",../data/pubchemfp_pattern_images/423.png
424,O=C-C-C-C=O,"[#8]=,:[#6]-,:[#6]-,:[#6]-,:[#6]=,:[#8]",../data/pubchemfp_pattern_images/424.png
425,C-C-C-C-C-C-C,"[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/425.png
426,O-C-C-C-C-C-C,"[#8]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]-,:[#6]",../data/pubchemfp_pattern_images/426.png
